;Proposições;Autor;Apresentaç
1006;PL 3563/2020;Maria Rosas - REPUBLIC/SP;30/06/2020
1007;PL 2006/2020;Clarissa Garotinho - PROS/RJ;17/04/2020
1008;PL 4811/2016;Rafael Motta - PSB/RN;23/03/2016
1009;PL 1926/2020;Alexandre Frota - PSDB/SP;15/04/2020
1010;PL 8675/2017;Sergio Vidigal - PDT/ES;21/09/2017
1011;PL 8974/2017;Efraim Filho - DEM/PB;31/10/2017
1012;PL 8473/2017;Capitão Augusto - PR/SP;05/09/2017
1013;PL 8902/2017;Roberto Sales - PRB/RJ;19/10/2017
1014;PL 1726/2020;Edilázio Júnior - PSD/MA;08/04/2020
1015;PL 1808/2020;Carlos Bezerra - MDB/MT;13/04/2020
1016;PL 1816/2020;Patricia Ferraz - PODE/AP;13/04/2020
1017;PL 7200/2017;Eros Biondini - PROS/MG;22/03/2017
1018;PL 2386/2020;Ivan Valente - PSOL/SP;04/05/2020
1019;PL 1876/2020;Carlos Sampaio - PSDB/SP;14/04/2020
1020;PL 3378/2020;Jerônimo Goergen - PP/RS;17/06/2020
1021;PL 3335/2020;Benes Leocádio - REPUBLIC/RN;16/06/2020
1022;PL 1695/2020;"Zé Silva - SOLIDARI/MG;Arnaldo Jardim - CIDADANIA/SP";07/04/2020
1023;PL 3143/2020;"Felipe Rigoni - PSB/ES;Tabata Amaral - PDT/SP";04/06/2020
1024;PL 2052/2020;Luizão Goulart - REPUBLIC/PR;20/04/2020
1025;PL 1894/2020;"Luciano Ducci - PSB/PR; Danilo Cabral - PSB/PE; Camilo Capiberibe - PSB/AP e outros";14/04/2020
1026;PL 2071/2020;"Valmir Assunção - PT/BA;João Daniel - PT/SE";22/04/2020
1027;PL 2102/2020;Camilo Capiberibe - PSB/AP;22/04/2020
1028;PL 3252/2020;Bacelar - PODE/BA;10/06/2020
1029;PL 2172/2020;Rejane Dias - PT/PI;24/04/2020
1030;PL 3334/2020;Paulo Teixeira - PT/SP;16/06/2020
1031;PL 1134/2020;Carlos Veras - PT/PE;27/03/2020
1032;PL 1139/2020;Alex Manente - CIDADANIA/SP;27/03/2020
1033;PL 3205/2020;Cássio Andrade - PSB/PA;09/06/2020
1034;PLP 159/2020;Mauro Benevides Filho - PDT/CE;05/06/2020
1035;PL 1736/2020;Leônidas Cristino - PDT/CE;08/04/2020
1036;PL 1741/2020;Mário Heringer - PDT/MG;08/04/2020
1037;PL 1752/2020;Fábio Henrique - PDT/SE;09/04/2020
1038;PL 1564/2020;Geninho Zuliani - DEM/SP;05/04/2020
1039;PLP 149/2020;Félix Mendonça Júnior - PDT/BA;02/06/2020
1040;PL 1680/2020;Eduardo Bismarck - PDT/CE;07/04/2020
1041;PL 1347/2020;João H. Campos - PSB/PE;31/03/2020
1042;PL 3278/2020;José Nelto - PODE/GO;15/06/2020
1043;PL 1649/2020;"Dra. Soraya Manato - PSL/ES; Jorge Solla - PT/BA; Carmen Zanotto - CIDADANIA/SC e outros";07/04/2020
1044;PL 3322/2020;Alice Portugal - PCdoB/BA;16/06/2020
1045;PL 1714/2020;Ossesio Silva - REPUBLIC/PE;07/04/2020
1046;PL 1715/2020;Ossesio Silva - REPUBLIC/PE;08/04/2020
1047;PL 3184/2020;"Luiza Erundina - PSOL/SP;Ivan Valente - PSOL/SP";08/06/2020
1048;PL 3092/2020;"Bira do Pindaré - PSB/MA; Denis Bezerra - PSB/CE; Ted Conti - PSB/ES e outros";03/06/2020
1049;PL 1506/2020;Rejane Dias - PT/PI;03/04/2020
1050;PL 3109/2020;Sidney Leite - PSD/AM;03/06/2020
1051;PL 1119/2020;Clarissa Garotinho - PROS/RJ;26/03/2020
1052;PL 2704/2020;"Tiago Mitraud - NOVO/MG; Marcel van Hattem - NOVO/RS; Carlos Jordy - PSL/RJ e outros";15/05/2020
1053;PL 3096/2020;Haroldo Cathedral - PSD/RR;03/06/2020
1054;PL 1457/2020;Fernando Coelho Filho - DEM/PE;02/04/2020
1055;PL 3123/2020;"Bohn Gass - PT/RS; Afonso Florence - PT/BA; Enio Verri - PT/PR e outros";04/06/2020
1056;PL 3141/2020;Shéridan - PSDB/RR;04/06/2020
1057;PL 3189/2020;"Erika Kokay - PT/DF; Jorge Solla - PT/BA; Enio Verri - PT/PR e outros";08/06/2020
1058;PL 3206/2020;Luizão Goulart - REPUBLIC/PR;09/06/2020
1059;PL 3274/2020;Benes Leocádio - REPUBLIC/RN;12/06/2020
1060;PL 1573/2020;"Mauro Nazif - PSB/RO; Ted Conti - PSB/ES; Luciano Ducci - PSB/PR e outros";06/04/2020
1061;PL 2199/2020;"Paula Belmonte - CIDADANIA/DF; Osmar Terra - MDB/RS; Angela Amin - PP/SC";27/04/2020
1062;PL 3093/2020;Rejane Dias - PT/PI;03/06/2020
1063;PL 3026/2020;Carlos Sampaio - PSDB/SP;01/06/2020
1064;PL 3066/2020;José Nelto - PODE/GO;02/06/2020
1065;PL 1107/2020;Diego Andrade - PSD/MG;26/03/2020
1066;PL 1108/2020;"Felipe Carreras - PSB/PE; Luciano Ducci - PSB/PR; Cássio Andrade - PSB/PA e outros";26/03/2020
1067;PL 1110/2020;"Marcelo Freixo - PSOL/RJ;Túlio Gadêlha - PDT/PE";26/03/2020
1068;PL 1274/2020;"Perpétua Almeida - PCdoB/AC; Jandira Feghali - PCdoB/RJ; Professora Marcivania - PCdoB/AP";30/03/2020
1069;PL 1336/2020;José Airton Félix Cirilo - PT/CE;31/03/2020
1070;PL 1349/2020;João H. Campos - PSB/PE;31/03/2020
1071;PL 1353/2020;Chiquinho Brazão - AVANTE/RJ;31/03/2020
1072;PL 1344/2020;João H. Campos - PSB/PE;31/03/2020
1073;PL 1433/2020;Paulo Abi-Ackel - PSDB/MG;01/04/2020
1074;PL 1445/2020;Paulo Abi-Ackel - PSDB/MG;02/04/2020
1075;PL 1503/2020;Amaro Neto - REPUBLIC/ES;03/04/2020
1076;PL 1496/2020;Delegado Waldir - PSL/GO;02/04/2020
1077;PL 1507/2020;Patricia Ferraz - PODE/AP;03/04/2020
1078;PL 1687/2020;Erika Kokay - PT/DF;07/04/2020
1079;PL 1683/2020;André Figueiredo - PDT/CE;07/04/2020
1080;PL 1667/2020;Celso Sabino - PSDB/PA;07/04/2020
1081;PL 1761/2020;Ossesio Silva - REPUBLIC/PE;09/04/2020
1082;PL 1821/2020;Reginaldo Lopes - PT/MG;13/04/2020
1083;PL 1868/2020;Celso Sabino - PSDB/PA;14/04/2020
1084;PL 1985/2020;Juscelino Filho - DEM/MA;16/04/2020
1085;PL 2274/2020;Marcelo Aro - PP/MG;28/04/2020
1086;PL 2440/2020;Marreca Filho - PATRIOTA/MA;06/05/2020
1087;PL 2514/2020;João H. Campos - PSB/PE;11/05/2020
1088;PL 3068/2020;Sidney Leite - PSD/AM;02/06/2020
1089;PL 2820/2020;Zeca Dirceu - PT/PR;21/05/2020
1090;PL 2827/2020;Vinicius Farah - MDB/RJ;21/05/2020
1091;PL 2832/2020;Pastor Sargento Isidório - AVANTE/BA;21/05/2020
1092;PL 1508/2020;Geovania de Sá - PSDB/SC;03/04/2020
1093;PL 2955/2020;Bira do Pindaré - PSB/MA;28/05/2020
1094;PL 2905/2020;Bosco Costa - PL/SE;26/05/2020
1095;PL 1580/2020;Flordelis - PSD/RJ;06/04/2020
1096;PL 2659/2020;Sergio Vidigal - PDT/ES;14/05/2020
1097;PL 1990/2020;Rejane Dias - PT/PI;17/04/2020
1098;PL 1253/2020;"Patricia Ferraz - PODE/AP;Luiz Carlos Motta - PL/SP";30/03/2020
1099;PL 1616/2020;Ossesio Silva - REPUBLIC/PE;06/04/2020
1100;PL 2793/2020;José Nelto - PODE/GO;20/05/2020
1101;PL 2879/2020;Delegado Antônio Furtado - PSL/RJ;25/05/2020
1102;PL 2886/2020;JHC - PSB/AL;26/05/2020
1103;PL 2545/2020;"Lídice da Mata - PSB/BA;Tadeu Alencar - PSB/PE";11/05/2020
1104;PL 1293/2020;Clarissa Garotinho - PROS/RJ;31/03/2020
1105;PL 2750/2020;Aluisio Mendes - PSC/MA;19/05/2020
1106;PL 2772/2020;"Alencar Santana Braga - PT/SP; Erika Kokay - PT/DF; Padre João - PT/MG e outros";20/05/2020
1107;PL 2795/2020;Eduardo Bolsonaro - PSL/SP;20/05/2020
1108;PL 1091/2020;Mário Heringer - PDT/MG;26/03/2020
1109;PLP 99/2020;Vermelho - PSD/PR;15/04/2020
1110;PL 2609/2020;Lucio Mosquini - MDB/RO;13/05/2020
1111;PL 1152/2020;Delegado Antônio Furtado - PSL/RJ;27/03/2020
1112;PL 2931/2020;"Denis Bezerra - PSB/CE; Luciano Ducci - PSB/PR; Alessandro Molon - PSB/RJ e outros";27/05/2020
1113;PL 2353/2020;José Guimarães - PT/CE;04/05/2020
1114;PL 2918/2020;Marcelo Aro - PP/MG;26/05/2020
1115;PL 1461/2020;Ricardo Izar - PP/SP;02/04/2020
1116;PL 2467/2020;"Denis Bezerra - PSB/CE; Ted Conti - PSB/ES; Vilson da Fetaemg - PSB/MG";07/05/2020
1117;PL 2493/2020;"Paulão - PT/AL; Airton Faleiro - PT/PA; Alencar Santana Braga - PT/SP e outros";08/05/2020
1118;PL 1422/2020;Glaustin Fokus - PSC/GO;01/04/2020
1119;PL 2548/2020;"Tereza Nelma - PSDB/AL; Professora Dorinha Seabra Rezende - DEM/TO; Dra. Soraya Manato - PSL/ES e outros";11/05/2020
1120;PL 2201/2020;"Jorge Solla - PT/BA;Alexandre Padilha - PT/SP";27/04/2020
1121;PL 1978/2020;"Dr. Luiz Antonio Teixeira Jr. - PP/RJ; Carmen Zanotto - CIDADANIA/SC; Dra. Soraya Manato - PSL/ES";16/04/2020
1122;PL 2176/2020;Orlando Silva - PCdoB/SP;27/04/2020
1123;PL 2301/2020;Daniel Almeida - PCdoB/BA;29/04/2020
1124;PL 2604/2020;"Fernanda Melchionna - PSOL/RS; David Miranda - PSOL/RJ; Edmilson Rodrigues - PSOL/PA e outros";13/05/2020
1125;PL 2224/2020;Alexandre Padilha - PT/SP;27/04/2020
1126;PL 2418/2020;"Cássio Andrade - PSB/PA;Danilo Cabral - PSB/PE";05/05/2020
1127;PL 2748/2020;Lídice da Mata - PSB/BA;19/05/2020
1128;PL 2792/2020;José Nelto - PODE/GO;20/05/2020
1129;PL 2468/2020;"Marcelo Freixo - PSOL/RJ; Margarete Coelho - PP/PI; Orlando Silva - PCdoB/SP e outros";07/05/2020
1130;PL 2398/2020;Dra. Soraya Manato - PSL/ES;05/05/2020
1131;PL 2542/2020;Célio Studart - PV/CE;11/05/2020
1132;PLP 127/2020;Celso Sabino - PSDB/PA;13/05/2020
1133;PL 555/2020;Loester Trutis - PSL/MS;05/03/2020
1134;PL 2445/2020;Eduardo Barbosa - PSDB/MG;06/05/2020
1135;PL 565/2020;COMISSÃO DE SEGURIDADE SOCIAL E FAMÍLIA;05/03/2020
1136;PL 2518/2020;Luizianne Lins - PT/CE;11/05/2020
1137;PL 589/2020;Edna Henrique - PSDB/PB;10/03/2020
1138;PL 2161/2020;Rubens Otoni - PT/GO;24/04/2020
1139;PL 1319/2020;Delegado Antônio Furtado - PSL/RJ;31/03/2020
1140;PL 532/2020;Felipe Carreras - PSB/PE;04/03/2020
1141;PL 1753/2020;Danilo Cabral - PSB/PE;09/04/2020
1142;PL 1843/2020;Paulo Ramos - PDT/RJ;13/04/2020
1143;PL 2687/2020;Pompeo de Mattos - PDT/RS;14/05/2020
1144;PL 2679/2020;Aroldo Martins - REPUBLIC/PR;14/05/2020
1145;PL 1916/2020;Kim Kataguiri - DEM/SP;15/04/2020
1146;PL 2403/2020;Lucio Mosquini - MDB/RO;05/05/2020
1147;PL 1884/2020;André Figueiredo - PDT/CE;14/04/2020
1148;PL 1309/2020;José Guimarães - PT/CE;31/03/2020
1149;PL 2263/2020;João Campos - REPUBLIC/GO;28/04/2020
1150;PL 1294/2020;Benedita da Silva - PT/RJ;31/03/2020
1151;PL 2049/2020;Daniel Silveira - PSL/RJ;20/04/2020
1152;PL 2229/2020;Túlio Gadêlha - PDT/PE;28/04/2020
1153;PL 2233/2020;Alexandre Frota - PSDB/SP;28/04/2020
1154;PL 2217/2020;Hélio Leite - DEM/PA;27/04/2020
1155;PL 2541/2020;Célio Studart - PV/CE;11/05/2020
1156;PL 984/2020;"Perpétua Almeida - PCdoB/AC;Talíria Petrone - PSOL/RJ";25/03/2020
1157;PL 740/2020;"Alencar Santana Braga - PT/SP;Professora Rosa Neide - PT/MT";18/03/2020
1158;PL 885/2020;"Mariana Carvalho - PSDB/RO; Patricia Ferraz - PODE/AP; Dra. Soraya Manato - PSL/ES e outros";23/03/2020
1159;PL 744/2020;"José Ricardo - PT/AM;Carlos Veras - PT/PE";18/03/2020
1160;PL 704/2020;Célio Studart - PV/CE;18/03/2020
1161;PL 1613/2020;José Nelto - PODE/GO;06/04/2020
1162;PLP 6/2019;"Igor Timo - PODE/MG;Patricia Ferraz - PODE/AP";04/02/2019
1163;PL 1993/2020;Afonso Hamm - PP/RS;17/04/2020
1164;PL 2045/2020;Perpétua Almeida - PCdoB/AC;20/04/2020
1165;PL 2105/2020;Alan Rick - DEM/AC;22/04/2020
1166;PL 758/2020;Alice Portugal - PCdoB/BA;19/03/2020
1167;PL 1370/2020;"José Guimarães - PT/CE; Enio Verri - PT/PR; Perpétua Almeida - PCdoB/AC e outros";01/04/2020
1168;PL 762/2020;Reginaldo Lopes - PT/MG;19/03/2020
1169;PL 1969/2020;Eduardo da Fonte - PP/PE;16/04/2020
1170;PL 2003/2020;Vinicius Farah - MDB/RJ;17/04/2020
1171;PL 1491/2020;"Luciano Ducci - PSB/PR; Cássio Andrade - PSB/PA; Lídice da Mata - PSB/BA e outros";02/04/2020
1172;PL 1116/2020;Aliel Machado - PSB/PR;26/03/2020
1173;PL 1439/2020;Cássio Andrade - PSB/PA;02/04/2020
1174;PL 1442/2020;"Mauro Nazif - PSB/RO; Lídice da Mata - PSB/BA; Luciano Ducci - PSB/PR e outros";02/04/2020
1175;PL 1069/2020;"Paula Belmonte - CIDADANIA/DF; Carmen Zanotto - CIDADANIA/SC; Patricia Ferraz - PODE/AP e outros";25/03/2020
1176;PL 1896/2020;Ricardo Silva - PSB/SP;15/04/2020
1177;PL 2437/2020;Hugo Leal - PSD/RJ;06/05/2020
1178;PL 1923/2020;Rejane Dias - PT/PI;15/04/2020
1179;PL 1835/2020;Sebastião Oliveira - PL/PE;13/04/2020
1180;PL 2351/2020;Capitão Alberto Neto - REPUBLIC/AM;04/05/2020
1181;PL 973/2020;Delegado Pablo - PSL/AM;24/03/2020
1182;PL 1745/2020;Francisco Jr. - PSD/GO;09/04/2020
1183;PL 1742/2020;Emanuel Pinheiro Neto - PTB/MT;09/04/2020
1184;PL 1861/2020;Roman - PSD/PR;14/04/2020
1185;PL 1720/2020;Lafayette de Andrada - REPUBLIC/MG;08/04/2020
1186;PL 2047/2020;Roberto de Lucena - PODE/SP;20/04/2020
1187;PL 1733/2020;Geninho Zuliani - DEM/SP;08/04/2020
1188;PL 1746/2020;Francisco Jr. - PSD/GO;09/04/2020
1189;PL 1825/2020;Eli Borges - SOLIDARI/TO;13/04/2020
1190;PL 1921/2020;Delegado Antônio Furtado - PSL/RJ;15/04/2020
1191;PL 1905/2020;Marcelo Ramos - PL/AM;15/04/2020
1192;PL 1881/2020;Ricardo Silva - PSB/SP;14/04/2020
1193;PL 1611/2020;Gildenemyr - PL/MA;06/04/2020
1194;PL 1612/2020;Gildenemyr - PL/MA;06/04/2020
1195;PL 1617/2020;Rosana Valle - PSB/SP;06/04/2020
1196;PL 1619/2020;Gildenemyr - PL/MA;06/04/2020
1197;PL 1223/2020;Alexandre Frota - PSDB/SP;30/03/2020
1198;PL 1662/2020;"Hiran Gonçalves - PP/RR; Jorge Solla - PT/BA; Dra. Soraya Manato - PSL/ES e outros";07/04/2020
1199;PL 992/2020;Alexandre Frota - PSDB/SP;25/03/2020
1200;PL 1698/2020;Edna Henrique - PSDB/PB;07/04/2020
1201;PL 1659/2020;Rosana Valle - PSB/SP;07/04/2020
1202;PL 913/2020;Rubens Otoni - PT/GO;24/03/2020
1203;PL 925/2020;Assis Carvalho - PT/PI;24/03/2020
1204;PL 930/2020;André Janones - AVANTE/MG;24/03/2020
1205;PL 1343/2020;João H. Campos - PSB/PE;31/03/2020
1206;PL 1499/2020;José Guimarães - PT/CE;03/04/2020
1207;PL 1501/2020;Gilberto Abramo - REPUBLIC/MG;03/04/2020
1208;PL 924/2020;Assis Carvalho - PT/PI;24/03/2020
1209;PL 964/2020;Helder Salomão - PT/ES;24/03/2020
1210;PL 1470/2020;Celso Sabino - PSDB/PA;02/04/2020
1211;PL 1474/2020;Baleia Rossi - MDB/SP;02/04/2020
1212;PL 1323/2020;"Enio Verri - PT/PR; José Guimarães - PT/CE; Joseildo Ramos - PT/BA e outros";31/03/2020
1213;PL 299/2020;Geovania de Sá - PSDB/SC;12/02/2020
1214;PL 343/2020;Vinicius Farah - MDB/RJ;17/02/2020
1215;PL 366/2020;Professor Israel Batista - PV/DF;18/02/2020
1216;PL 374/2020;Célio Studart - PV/CE;18/02/2020
1217;PL 379/2020;Enéias Reis - PSL/MG;18/02/2020
1218;PL 1296/2020;André Janones - AVANTE/MG;31/03/2020
1219;PL 969/2020;Joice Hasselmann - PSL/SP;24/03/2020
1220;PL 681/2020;Natália Bonavides - PT/RN;17/03/2020
1221;PL 661/2020;Efraim Filho - DEM/PB;17/03/2020
1222;PL 725/2020;Carlos Chiodini - MDB/SC;18/03/2020
1223;PL 743/2020;José Ricardo - PT/AM;18/03/2020
1224;PL 798/2020;Idilvan Alencar - PDT/CE;20/03/2020
1225;PL 721/2020;"Margarida Salomão - PT/MG; Enio Verri - PT/PR; Professora Rosa Neide - PT/MT";18/03/2020
1226;PL 662/2020;Marcelo Freixo - PSOL/RJ;17/03/2020
1227;PL 689/2020;Léo Moraes - PODE/RO;18/03/2020
1228;PL 1388/2020;Paula Belmonte - CIDADANIA/DF;01/04/2020
1229;PL 739/2020;Darci de Matos - PSD/SC;18/03/2020
1230;PL 803/2020;Sanderson - PSL/RS;20/03/2020
1231;PL 816/2020;"Valmir Assunção - PT/BA;Professora Rosa Neide - PT/MT";23/03/2020
1232;PL 755/2020;Alice Portugal - PCdoB/BA;19/03/2020
1233;PL 1374/2020;Rosana Valle - PSB/SP;01/04/2020
1234;PL 1384/2020;Professor Alcides - PP/GO;01/04/2020
1235;PL 217/2020;José Guimarães - PT/CE;11/02/2020
1236;PL 1214/2020;"Mauro Nazif - PSB/RO;JHC - PSB/AL";30/03/2020
1237;PL 82/2020;Guilherme Derrite - PP/SP;04/02/2020
1238;PL 108/2020;Paulo Ramos - PDT/RJ;05/02/2020
1239;PL 18/2020;Diego Garcia - PODE/PR;03/02/2020
1240;PL 92/2020;Elias Vaz - PSB/GO;04/02/2020
1241;PL 139/2020;Delegado Waldir - PSL/GO;05/02/2020
1242;PL 275/2019;Rubens Otoni;04/02/2019
1243;PL 6602/2019;Paulo Ganime - NOVO/RJ;19/12/2019
1244;PL 947/2020;JHC - PSB/AL;24/03/2020
1245;PLP 1/2020;Capitão Alberto Neto - REPUBLIC/AM;03/02/2020
1246;PL 6428/2019;Margarete Coelho - PP/PI;11/12/2019
1247;PL 6431/2019;Ivan Valente - PSOL/SP;12/12/2019
1248;PL 6462/2019;José Ricardo - PT/AM;17/12/2019
1249;PL 6489/2019;Aroldo Martins - REPUBLIC/PR;17/12/2019
1250;PL 8033/2017;Pr. Marco Feliciano - PSC/SP;05/07/2017
1251;PL 175/2011;Antonio Carlos Mendes Thame - PSDB/SP;07/02/2011
1252;PL 2564/2019;Cássio Andrade - PSB/PA;25/04/2019
1253;PL 10214/2018;Floriano Pesaro - PSDB/SP;10/05/2018
1254;PL 8487/2017;Sergio Vidigal - PDT/ES;05/09/2017
1255;PL 699/2019;Laercio Oliveira - PP/SE;13/02/2019
1256;PL 2836/2019;Darci de Matos - PSD/SC;14/05/2019
1257;PL 2133/2019;Filipe Barros - PSL/PR;09/04/2019
1258;PL 7472/2010;Rodrigo Maia - DEM/RJ;09/06/2010
1259;PL 6653/2016;Ronaldo Carletto - PP/BA;07/12/2016
1260;PL 980/2020;Talíria Petrone - PSOL/RJ;24/03/2020
1261;PL 910/2020;Rubens Otoni - PT/GO;24/03/2020
1262;PL 8446/2017;Covatti Filho - PP/RS;31/08/2017
1263;PL 933/2020;Luis Miranda - DEM/DF;24/03/2020
1264;PL 932/2020;Luis Miranda - DEM/DF;24/03/2020
1265;PL 904/2020;Rubens Otoni - PT/GO;24/03/2020
1266;PL 923/2020;Assis Carvalho - PT/PI;24/03/2020
1267;PL 834/2020;Arlindo Chinaglia - PT/SP;23/03/2020
1268;PL 6180/2019;Coronel Tadeu - PSL/SP;27/11/2019
1269;PL 10096/2018;"Laura Carneiro - DEM/RJ;Carmen Zanotto - PPS/SC";24/04/2018
1270;PL 6323/2019;Nivaldo Albuquerque - PTB/AL;09/12/2019
1271;PL 6450/2019;Edna Henrique - PSDB/PB;16/12/2019
1272;PL 6461/2019;"André de Paula - PSD/PE; Arthur Lira - PP/AL; Baleia Rossi - MDB/SP e outros";16/12/2019
1273;PL 915/2020;Fernando Monteiro - PP/PE;24/03/2020
1274;PL 3842/2019;Alice Portugal - PCdoB/BA;02/07/2019
1275;PL 6295/2019;Carlos Henrique Gaguim - DEM/TO;04/12/2019
1276;PLP 134/2019;Bibo Nunes - PSL/RS;21/05/2019
1277;PL 6309/2019;Pastor Eurico - PATRIOTA/PE;04/12/2019
1278;PL 6340/2019;Boca Aberta - PROS/PR;10/12/2019
1279;PL 6371/2019;Iracema Portella - PP/PI;10/12/2019
1280;PL 757/2020;Alice Portugal - PCdoB/BA;19/03/2020
1281;PL 763/2020;Reginaldo Lopes - PT/MG;19/03/2020
1282;PL 792/2020;Zeca Dirceu - PT/PR;20/03/2020
1283;PL 5802/2019;Bibo Nunes - PSL/RS;31/10/2019
1284;PL 6136/2019;Charles Fernandes - PSD/BA;26/11/2019
1285;PL 4549/2019;Sanderson - PSL/RS;16/08/2019
1286;PL 720/2020;Silas Câmara - REPUBLIC/AM;18/03/2020
1287;PL 764/2020;Reginaldo Lopes - PT/MG;19/03/2020
1288;PL 6188/2019;Geninho Zuliani - DEM/SP;27/11/2019
1289;PL 4881/2012;"José de Filippi - PT/SP;Carlos Zarattini - PT/SP";18/12/2012
1290;PL 5071/2016;Félix Mendonça Júnior - PDT/BA;26/04/2016
1291;PL 6150/2019;Mário Heringer - PDT/MG;26/11/2019
1292;PL 6119/2019;Luiz Philippe de Orleans e Bragança - PSL/SP;21/11/2019
1293;PL 6028/2019;Neri Geller - PP/MT;19/11/2019
1294;PL 961/2019;Célio Studart - PV/CE;20/02/2019
1295;PL 4968/2019;Marília Arraes - PT/PE;11/09/2019
1296;PL 5949/2019;Idilvan Alencar - PDT/CE;12/11/2019
1297;PLP 156/2012;Reguffe - PDT/DF;28/03/2012
1298;PL 742/2015;Conceição Sampaio - PP/AM;13/03/2015
1299;PL 11018/2018;Carlos Henrique Gaguim - DEM/TO;21/11/2018
1300;PL 3365/2019;Diego Andrade - PSD/MG;06/06/2019
1301;PL 1075/2015;Marcos Rotta - PMDB/AM;08/04/2015
1302;PL 10510/2018;Felipe Carreras - PSB/PE;03/07/2018
1303;PL 3749/2012;Nelson Marchezan Junior - PSDB/RS;25/04/2012
1304;PL 2809/2011;Ricardo Izar - PSD/SP;30/11/2011
1305;PL 2669/2015;"Julio Lopes - PP/RJ;Paulo Abi-Ackel - PSDB/MG";18/08/2015
1306;PL 6261/2013;Guilherme Campos - PSD/SP;04/09/2013
1307;PL 4037/2019;Aureo Ribeiro - SOLIDARI/RJ;11/07/2019
1308;PL 5368/2019;Wilson Santiago - PTB/PB;03/10/2019
1309;PL 1526/2019;Dr. Leonardo - SOLIDARI/MT;19/03/2019
1310;PL 9996/2018;Junji Abe - PSD/SP;11/04/2018
1311;PL 9902/2018;Eduardo Bolsonaro - PSC/SP;27/03/2018
1312;PL 301/2020;Vinicius Poit - NOVO/SP;12/02/2020
1313;PL 11135/2018;Fábio Trad - PSD/MS;05/12/2018
1314;PL 10075/2018;Aureo - SD/RJ;18/04/2018
1315;PL 10344/2018;Felipe Carreras - PSB/PE;05/06/2018
1316;PL 3056/2011;Aguinaldo Ribeiro - PP/PB;21/12/2011
1317;PL 5866/2019;Marreca Filho - PATRIOTA/MA;05/11/2019
1318;PL 6583/2013;Anderson Ferreira - PR/PE;16/10/2013
1319;PL 9463/2018;Poder Executivo;22/01/2018
1320;PL 370/2011;Alessandro Molon - PT/RJ;10/02/2011
1321;PL 6670/2016;LEGISLAÇÃO PARTICIPATIVA;13/12/2016
1322;PL 2438/2015;CPI - VIOLÊNCIA CONTRA JOVENS NEGROS E POBRES;16/07/2015
1323;PL 5559/2016;"Pepe Vargas - PT/RS; Chico D'Angelo - PT/RJ; Henrique Fontana - PT/RS";14/06/2016
1324;PL 1712/2019;Tiago Dimas - SOLIDARI/TO;26/03/2019
1325;PL 10762/2018;"Odorico Monteiro - PSB/CE; Vitor Lippi - PSDB/SP; Margarida Salomão - PT/MG e outros";22/08/2018
1326;PL 419/2011;Aureo - PRTB/RJ;16/02/2011
1327;PL 2383/2019;Delegado Pablo - PSL/AM;17/04/2019
1328;PL 11164/2018;Carlos Henrique Gaguim - DEM/TO;11/12/2018
1329;PL 1201/2011;Nilton Capixaba - PTB/RO;28/04/2011
1330;PL 228/2020;João Daniel - PT/SE;11/02/2020
1331;PL 254/2020;Rubens Otoni - PT/GO;11/02/2020
1332;PL 10172/2018;Rubens Bueno - PPS/PR;08/05/2018
1333;PL 1543/2015;"Dr. Jorge Silva - PROS/ES;Norma Ayub - DEM/ES";14/05/2015
1334;PL 2527/2015;Marcelo Álvaro Antônio - PRP/MG;05/08/2015
1335;PL 4537/2019;Marreca Filho - PATRIOTA/MA;15/08/2019
1336;PL 5408/2019;Julio Cesar Ribeiro - REPUBLIC/DF;08/10/2019
1337;PL 1698/2019;José Medeiros - PODE/MT;21/03/2019
1338;PL 4336/2016;Luiza Erundina - PSB/SP;04/02/2016
1339;PL 3585/2019;Coronel Tadeu - PSL/SP;18/06/2019
1340;PL 4632/2016;Alberto Fraga - DEM/DF;08/03/2016
1341;PL 386/2019;Rafael Motta - PSB/RN;05/02/2019
1342;PL 2139/2019;Boca Aberta - PROS/PR;09/04/2019
1343;PL 3082/2019;Liziane Bayer - PSB/RS;22/05/2019
1344;PL 4748/2019;Iracema Portella - PP/PI;28/08/2019
1345;PL 1119/2019;Emanuel Pinheiro Neto - PTB/MT;26/02/2019
1346;PL 5557/2013;Alfredo Kaefer - PSDB/PR;09/05/2013
1347;PL 7323/2014;Guilherme Campos - PSD/SP;27/03/2014
1348;PL 6201/2016;Francisco Chapadinha - PTN/PA;03/10/2016
1349;PL 2335/2019;Edna Henrique - PSDB/PB;16/04/2019
1350;PL 1155/2015;Glauber Braga - PSB/RJ;15/04/2015
1351;PL 5964/2013;Rogério Peninha Mendonça - PMDB/SC;16/07/2013
1352;PL 9228/2017;Marcelo Castro - PMDB/PI;29/11/2017
1353;PL 1311/2019;Daniel Silveira - PSL/RJ;12/03/2019
1354;PL 1021/2019;Leandre - PV/PR;21/02/2019
1355;PL 2816/2011;Paulo Wagner - PV/RN;30/11/2011
1356;PL 7395/2017;Herculano Passos - PSD/SP;11/04/2017
1357;PL 6222/2019;Gildenemyr - PL/MA;27/11/2019
1358;PL 5633/2019;Marreca Filho - PATRIOTA/MA;23/10/2019
1359;PL 5753/2019;Tiririca - PL/SP;30/10/2019
1360;PL 5850/2019;Felipe Carreras - PSB/PE;05/11/2019
1361;PLP 46/2015;Erika Kokay - PT/DF;31/03/2015
