;Proposições;Autor;Apresentaç
451;PL 2333/2020;"Fernanda Melchionna - PSOL/RS; Sâmia Bomfim - PSOL/SP; Talíria Petrone - PSOL/RJ e outros";30/04/2020
452;PL 2162/2020;"Fernanda Melchionna - PSOL/RS; David Miranda - PSOL/RJ; Edmilson Rodrigues - PSOL/PA e outros";24/04/2020
453;PL 7714/2014;Ronaldo Fonseca - PROS/DF;11/06/2014
454;PL 1536/2020;Vitor Lippi - PSDB/SP;03/04/2020
455;PL 4065/2015;João Rodrigues - PSD/SC;16/12/2015
456;PL 4199/2015;Carlos Henrique Gaguim - PMB/TO;21/12/2015
457;PL 1129/2020;Jose Mario Schreiner - DEM/GO;27/03/2020
458;PL 169/2015;Thiago Peixoto;04/02/2015
459;PL 2794/2015;Antônio Jácome - PMN/RN;27/08/2015
460;PL 3163/2020;André Figueiredo - PDT/CE;08/06/2020
461;PL 1813/2020;Patricia Ferraz - PODE/AP;13/04/2020
462;PL 950/2015;Fábio Mitidieri - PSD/SE;26/03/2015
463;PLP 34/2020;Wellington Roberto - PL/PB;23/03/2020
464;PL 2270/2020;"Carmen Zanotto - CIDADANIA/SC; Pedro Westphalen - PP/RS; Dra. Soraya Manato - PSL/ES e outros";28/04/2020
465;PLP 79/2020;Celso Maldaner - MDB/SC;06/04/2020
466;PL 490/2015;"Jorge Solla - PT/BA; Carmen Zanotto - CIDADANIA/SC; Alexandre Serfiotis - PSD/RJ e outros";26/02/2015
467;PL 217/2015;Carmen Zanotto - PPS/SC;05/02/2015
468;PL 2115/2020;Nicoletti - PSL/RR;23/04/2020
469;PL 2129/2020;Dr. Sinval Malheiros - PODE/SP;23/04/2020
470;PL 5644/2016;Lindomar Garçon - PRB/RO;21/06/2016
471;PL 5760/2016;Sóstenes Cavalcante - DEM/RJ;06/07/2016
472;PLP 321/2016;Mauro Lopes - PMDB/MG;18/10/2016
473;PL 2430/2020;"Alexandre Padilha - PT/SP; Dr. Zacharias Calil - DEM/GO; Professora Rosa Neide - PT/MT e outros";06/05/2020
474;PL 1255/2020;"Pedro Westphalen - PP/RS; Carmen Zanotto - CIDADANIA/SC; Dra. Soraya Manato - PSL/ES";30/03/2020
475;PL 4811/2016;Rafael Motta - PSB/RN;23/03/2016
476;PL 5192/2016;Senado Federal - Paulo Bauer - PSDB/SC;05/05/2016
477;PL 8675/2017;Sergio Vidigal - PDT/ES;21/09/2017
478;PL 8974/2017;Efraim Filho - DEM/PB;31/10/2017
479;PL 7200/2017;Eros Biondini - PROS/MG;22/03/2017
480;PL 3143/2020;"Felipe Rigoni - PSB/ES;Tabata Amaral - PDT/SP";04/06/2020
481;PL 1894/2020;"Luciano Ducci - PSB/PR; Danilo Cabral - PSB/PE; Camilo Capiberibe - PSB/AP e outros";14/04/2020
482;PL 2071/2020;"Valmir Assunção - PT/BA;João Daniel - PT/SE";22/04/2020
483;PL 3252/2020;Bacelar - PODE/BA;10/06/2020
484;PL 1347/2020;João H. Campos - PSB/PE;31/03/2020
485;PL 1715/2020;Ossesio Silva - REPUBLIC/PE;08/04/2020
486;PL 1573/2020;"Mauro Nazif - PSB/RO; Ted Conti - PSB/ES; Luciano Ducci - PSB/PR e outros";06/04/2020
487;PL 3026/2020;Carlos Sampaio - PSDB/SP;01/06/2020
488;PL 3066/2020;José Nelto - PODE/GO;02/06/2020
489;PL 1108/2020;"Felipe Carreras - PSB/PE; Luciano Ducci - PSB/PR; Cássio Andrade - PSB/PA e outros";26/03/2020
490;PL 1349/2020;João H. Campos - PSB/PE;31/03/2020
491;PL 1507/2020;Patricia Ferraz - PODE/AP;03/04/2020
492;PL 1683/2020;André Figueiredo - PDT/CE;07/04/2020
493;PL 1406/2020;Celina Leão - PP/DF;01/04/2020
494;PL 1253/2020;"Patricia Ferraz - PODE/AP;Luiz Carlos Motta - PL/SP";30/03/2020
495;PL 1152/2020;Delegado Antônio Furtado - PSL/RJ;27/03/2020
496;PL 2353/2020;José Guimarães - PT/CE;04/05/2020
497;PL 2918/2020;Marcelo Aro - PP/MG;26/05/2020
498;PL 2493/2020;"Paulão - PT/AL; Airton Faleiro - PT/PA; Alencar Santana Braga - PT/SP e outros";08/05/2020
499;PL 2548/2020;"Tereza Nelma - PSDB/AL; Professora Dorinha Seabra Rezende - DEM/TO; Dra. Soraya Manato - PSL/ES e outros";11/05/2020
500;PL 1978/2020;"Dr. Luiz Antonio Teixeira Jr. - PP/RJ; Carmen Zanotto - CIDADANIA/SC; Dra. Soraya Manato - PSL/ES";16/04/2020
501;PL 2176/2020;Orlando Silva - PCdoB/SP;27/04/2020
502;PL 2604/2020;"Fernanda Melchionna - PSOL/RS; David Miranda - PSOL/RJ; Edmilson Rodrigues - PSOL/PA e outros";13/05/2020
503;PL 2468/2020;"Marcelo Freixo - PSOL/RJ; Margarete Coelho - PP/PI; Orlando Silva - PCdoB/SP e outros";07/05/2020
504;PLP 127/2020;Celso Sabino - PSDB/PA;13/05/2020
505;PL 2445/2020;Eduardo Barbosa - PSDB/MG;06/05/2020
506;PL 565/2020;COMISSÃO DE SEGURIDADE SOCIAL E FAMÍLIA;05/03/2020
507;PL 589/2020;Edna Henrique - PSDB/PB;10/03/2020
508;PL 2161/2020;Rubens Otoni - PT/GO;24/04/2020
509;PL 471/2020;Nivaldo Albuquerque - PTB/AL;03/03/2020
510;PL 488/2020;Geninho Zuliani - DEM/SP;04/03/2020
511;PL 1753/2020;Danilo Cabral - PSB/PE;09/04/2020
512;PL 2687/2020;Pompeo de Mattos - PDT/RS;14/05/2020
513;PL 1309/2020;José Guimarães - PT/CE;31/03/2020
514;PL 1294/2020;Benedita da Silva - PT/RJ;31/03/2020
515;PL 2049/2020;Daniel Silveira - PSL/RJ;20/04/2020
516;PL 1572/2020;José Guimarães - PT/CE;06/04/2020
517;PL 758/2020;Alice Portugal - PCdoB/BA;19/03/2020
518;PL 1370/2020;"José Guimarães - PT/CE; Enio Verri - PT/PR; Perpétua Almeida - PCdoB/AC e outros";01/04/2020
519;PL 1491/2020;"Luciano Ducci - PSB/PR; Cássio Andrade - PSB/PA; Lídice da Mata - PSB/BA e outros";02/04/2020
520;PL 1835/2020;Sebastião Oliveira - PL/PE;13/04/2020
521;PL 2351/2020;Capitão Alberto Neto - REPUBLIC/AM;04/05/2020
522;PL 1223/2020;Alexandre Frota - PSDB/SP;30/03/2020
523;PL 1343/2020;João H. Campos - PSB/PE;31/03/2020
524;PL 964/2020;Helder Salomão - PT/ES;24/03/2020
525;PL 1323/2020;"Enio Verri - PT/PR; José Guimarães - PT/CE; Joseildo Ramos - PT/BA e outros";31/03/2020
526;PL 334/2020;Capitão Alberto Neto - REPUBLIC/AM;17/02/2020
527;PL 366/2020;Professor Israel Batista - PV/DF;18/02/2020
528;PL 379/2020;Enéias Reis - PSL/MG;18/02/2020
529;PL 845/2020;Arlindo Chinaglia - PT/SP;23/03/2020
530;PL 662/2020;Marcelo Freixo - PSOL/RJ;17/03/2020
531;PL 244/2020;Gildenemyr - PL/MA;11/02/2020
532;PL 119/2019;Renata Abreu - PODE/SP;04/02/2019
533;PL 362/2019;Alceu Moreira - MDB/RS;05/02/2019
534;PL 98/2020;Felipe Carreras - PSB/PE;04/02/2020
535;PL 95/2020;"General Peternelli - PSL/SP; Coronel Chrisóstomo - PSL/RO; Coronel Armando - PSL/SC e outros";04/02/2020
536;PL 2035/2019;Hiran Gonçalves - PP/RR;03/04/2019
537;PL 6431/2019;Ivan Valente - PSOL/SP;12/12/2019
538;PL 46/2020;Alexandre Frota - PSDB/SP;04/02/2020
539;PL 6379/2019;Marília Arraes - PT/PE;10/12/2019
540;PL 6462/2019;José Ricardo - PT/AM;17/12/2019
541;PL 6489/2019;Aroldo Martins - REPUBLIC/PR;17/12/2019
542;PL 2452/2015;CPI - MÁFIA DAS ÓRTESES E PRÓTESES NO BRASIL;17/07/2015
543;PL 221/2015;Jô Moraes - PCdoB/MG;05/02/2015
544;PL 175/2011;Antonio Carlos Mendes Thame - PSDB/SP;07/02/2011
545;PL 2564/2019;Cássio Andrade - PSB/PA;25/04/2019
546;PL 2836/2019;Darci de Matos - PSD/SC;14/05/2019
547;PL 4421/2016;Marco Maia - PT/RS;17/02/2016
548;PL 8446/2017;Covatti Filho - PP/RS;31/08/2017
549;PL 6323/2019;Nivaldo Albuquerque - PTB/AL;09/12/2019
550;PL 6461/2019;"André de Paula - PSD/PE; Arthur Lira - PP/AL; Baleia Rossi - MDB/SP e outros";16/12/2019
551;PL 3842/2019;Alice Portugal - PCdoB/BA;02/07/2019
552;PLP 134/2019;Bibo Nunes - PSL/RS;21/05/2019
553;PL 6220/2019;Maria Rosas - REPUBLIC/SP;27/11/2019
554;PL 4881/2012;"José de Filippi - PT/SP;Carlos Zarattini - PT/SP";18/12/2012
555;PL 6150/2019;Mário Heringer - PDT/MG;26/11/2019
556;PL 6059/2019;Eduardo Costa - PTB/PA;19/11/2019
557;PL 6028/2019;Neri Geller - PP/MT;19/11/2019
558;PL 6120/2019;Flávio Nogueira - PDT/PI;21/11/2019
559;PL 6227/2019;Dr. Jaziel - PL/CE;27/11/2019
560;PL 1388/2019;Alê Silva - PSL/MG;13/03/2019
561;PL 8882/2017;Carlos Souza - PSD/AM;18/10/2017
562;PL 742/2015;Conceição Sampaio - PP/AM;13/03/2015
563;PL 11018/2018;Carlos Henrique Gaguim - DEM/TO;21/11/2018
564;PL 1076/2019;Julio Cesar Ribeiro - PRB/DF;22/02/2019
565;PL 4037/2019;Aureo Ribeiro - SOLIDARI/RJ;11/07/2019
566;PL 5368/2019;Wilson Santiago - PTB/PB;03/10/2019
567;PL 399/2015;Fábio Mitidieri - PSD/SE;23/02/2015
568;PL 11135/2018;Fábio Trad - PSD/MS;05/12/2018
569;PL 10344/2018;Felipe Carreras - PSB/PE;05/06/2018
570;PL 5866/2019;Marreca Filho - PATRIOTA/MA;05/11/2019
571;PL 6583/2013;Anderson Ferreira - PR/PE;16/10/2013
572;PL 9463/2018;Poder Executivo;22/01/2018
573;PL 6670/2016;LEGISLAÇÃO PARTICIPATIVA;13/12/2016
574;PL 6126/2013;Poder Executivo;20/08/2013
575;PL 2438/2015;CPI - VIOLÊNCIA CONTRA JOVENS NEGROS E POBRES;16/07/2015
576;PL 5559/2016;"Pepe Vargas - PT/RS; Chico D'Angelo - PT/RJ; Henrique Fontana - PT/RS";14/06/2016
577;PL 5248/2016;Weverton Rocha - PDT/MA;11/05/2016
578;PL 1712/2019;Tiago Dimas - SOLIDARI/TO;26/03/2019
579;PL 10762/2018;"Odorico Monteiro - PSB/CE; Vitor Lippi - PSDB/SP; Margarida Salomão - PT/MG e outros";22/08/2018
580;PL 2383/2019;Delegado Pablo - PSL/AM;17/04/2019
581;PL 11164/2018;Carlos Henrique Gaguim - DEM/TO;11/12/2018
582;PL 1201/2011;Nilton Capixaba - PTB/RO;28/04/2011
583;PL 5170/2013;Vilson Covatti - PP/RS;19/03/2013
584;PL 228/2020;João Daniel - PT/SE;11/02/2020
585;PL 1396/2019;Senado Federal - Carlos Viana - PSD/MG;20/11/2019
586;PL 8013/2014;"Dr. Jorge Silva - PROS/ES;Norma Ayub - DEM/ES";14/10/2014
587;PL 1543/2015;"Dr. Jorge Silva - PROS/ES;Norma Ayub - DEM/ES";14/05/2015
588;PL 2527/2015;Marcelo Álvaro Antônio - PRP/MG;05/08/2015
589;PL 4537/2019;Marreca Filho - PATRIOTA/MA;15/08/2019
590;PL 4336/2016;Luiza Erundina - PSB/SP;04/02/2016
591;PL 1136/2011;Cesar Colnago - PSDB/ES;20/04/2011
592;PL 369/2019;Mara Rocha - PSDB/AC;05/02/2019
593;PL 386/2019;Rafael Motta - PSB/RN;05/02/2019
594;PL 3082/2019;Liziane Bayer - PSB/RS;22/05/2019
595;PL 1155/2015;Glauber Braga - PSB/RJ;15/04/2015
596;PL 9228/2017;Marcelo Castro - PMDB/PI;29/11/2017
597;PL 5615/2019;Clarissa Garotinho - PROS/RJ;22/10/2019
598;PL 2034/2019;Hiran Gonçalves - PP/RR;03/04/2019
599;PL 1041/2019;Capitão Wagner - PROS/CE;21/02/2019
600;PL 4505/2019;Pinheirinho - PP/MG;14/08/2019
601;PL 5371/2013;Sandra Rosado - PSB/RN;11/04/2013
602;PL 374/2011;Manuela D'ávila - PCdoB/RS;10/02/2011
603;PL 5558/2019;Lucas Gonzalez - NOVO/MG;16/10/2019
604;PL 4272/2016;Sérgio Reis - PRB/SP;02/02/2016
605;PL 7868/2014;André de Paula - PSD/PE;06/08/2014
606;PL 2260/2019;Eduardo Barbosa - PSDB/MG;11/04/2019
607;PL 5720/2019;Giovani Cherini - PL/RS;29/10/2019
608;PL 6342/2013;Simão Sessim - PP/RJ;12/09/2013
609;PL 6001/2019;Senado Federal - Airton Sandoval - MDB/SP;12/11/2019
610;PL 5678/2019;Dra. Soraya Manato - PSL/ES;24/10/2019
611;PL 5460/2016;Senado Federal - Acir Gurgacz - PDT/RO;01/06/2016
612;PL 6409/2016;Vicentinho Júnior - PR/TO;25/10/2016
613;PLP 464/2017;Valadares Filho - PSB/SE;20/12/2017
614;PL 9671/2018;Prof. Gedeão Amorim - PMDB/AM;28/02/2018
615;PL 2022/2019;Mauro Nazif - PSB/RO;03/04/2019
616;PL 1003/2019;José Airton Félix Cirilo - PT/CE;21/02/2019
617;PL 3606/2019;Ossesio Silva - PRB/PE;18/06/2019
618;PL 3486/2019;Tiririca - PL/SP;12/06/2019
619;PL 3372/2019;Igor Kannário - PHS/BA;06/06/2019
620;PL 4943/2019;Dr. Luiz Antonio Teixeira Jr. - PP/RJ;10/09/2019
621;PL 5118/2019;Carmen Zanotto - CIDADANIA/SC;17/09/2019
622;PL 5210/2019;Damião Feliciano - PDT/PB;24/09/2019
623;PL 5156/2019;Célio Studart - PV/CE;18/09/2019
624;PL 5265/2019;Nivaldo Albuquerque - PTB/AL;26/09/2019
625;PL 5587/2019;Angela Amin - PP/SC;22/10/2019
626;PL 5443/2019;Eduardo Bismarck - PDT/CE;09/10/2019
627;PL 5538/2019;Ruy Carneiro - PSDB/PB;16/10/2019
628;PL 5519/2019;Geninho Zuliani - DEM/SP;15/10/2019
629;PL 5527/2019;Frei Anastacio Ribeiro - PT/PB;15/10/2019
630;PL 5539/2019;Hercílio Coelho Diniz - MDB/MG;16/10/2019
631;PL 5602/2019;Bia Cavassa - PSDB/MS;22/10/2019
632;PL 6004/2013;Senado Federal - Marconi Perillo - PSDB/GO;17/07/2013
633;PLP 437/2014;Domingos Neto - PROS/CE;03/12/2014
634;PL 3437/2015;Senado Federal - Vanessa Grazziotin - PCdoB/AM;27/10/2015
635;PL 5693/2013;Erika Kokay - PT/DF;04/06/2013
636;PL 7103/2014;Benedita da Silva - PT/RJ;11/02/2014
637;PL 4379/2012;Paulo Tadeu - PT/DF;04/09/2012
638;PL 7270/2014;Jean Wyllys - PSOL/RJ;19/03/2014
639;PL 10106/2018;Senado Federal - Reguffe - PDT/DF;25/04/2018
640;PL 2837/2019;Cleber Verde - PRB/MA;14/05/2019
641;PL 2828/2019;Professor Joziel - PSL/RJ;14/05/2019
642;PL 3537/2019;Edna Henrique - PSDB/PB;13/06/2019
643;PL 2370/2019;Jandira Feghali - PCdoB/RJ;16/04/2019
644;PL 6666/2016;LEGISLAÇÃO PARTICIPATIVA;12/12/2016
645;PL 3772/2012;Onyx Lorenzoni - DEM/RS;25/04/2012
646;PL 9436/2017;RELAÇÕES EXTERIORES E DE DEFESA NACIONAL;19/12/2017
647;PL 892/2015;José Guimarães - PT/CE;25/03/2015
648;PL 8131/2017;Senado Federal - Humberto Costa - PT/PE;01/08/2017
649;PL 2549/2019;André Ferreira - PSC/PE;25/04/2019
650;PL 5503/2013;Senado Federal - Vital do Rêgo - PMDB/PB;03/05/2013
651;PL 122/2019;Renata Abreu - PODE/SP;04/02/2019
652;PL 10521/2018;Paulo Teixeira - PT/SP;04/07/2018
653;PL 1606/2011;Marçal Filho - PMDB/MS;15/06/2011
654;PL 2850/2019;Felipe Carreras - PSB/PE;14/05/2019
655;PL 3535/2019;Márcio Labre - PSL/RJ;13/06/2019
656;PL 4239/2015;Marcelo Belinati - PP/PR;22/12/2015
657;PL 5056/2019;Edna Henrique - PSDB/PB;12/09/2019
658;PL 11217/2018;Domingos Neto - PSD/CE;18/12/2018
659;PL 4411/2019;Denis Bezerra - PSB/CE;13/08/2019
660;PL 2303/2019;Hiran Gonçalves - PP/RR;16/04/2019
661;PL 2142/2019;Boca Aberta - PROS/PR;09/04/2019
662;PL 1978/2015;Felipe Bornier - PSD/RJ;17/06/2015
663;PL 4502/2019;Dr. Luiz Ovando - PSL/MS;14/08/2019
664;PL 1687/2019;Célio Studart - PV/CE;21/03/2019
665;PL 4189/2019;Capitão Alberto Neto - PRB/AM;02/08/2019
666;PL 9432/2017;RELAÇÕES EXTERIORES E DE DEFESA NACIONAL;19/12/2017
667;PL 1375/2019;Júnior Ferrari - PSD/PA;12/03/2019
668;PL 5152/2016;Alfredo Nascimento - PR/AM;04/05/2016
669;PL 10043/2018;Fábio Trad - PSD/MS;17/04/2018
670;PL 9333/2017;Chico Lopes - PCdoB/CE;13/12/2017
671;PL 6126/2016;Vicentinho Júnior - PR/TO;13/09/2016
672;PL 4858/2019;Flavio Nogueira - PDT/PI;04/09/2019
673;PL 4932/2019;Bosco Saraiva - SOLIDARI/AM;10/09/2019
674;PL 4712/2019;Gil Cutrim - PDT/MA;27/08/2019
675;PL 797/2019;Marcelo Freixo - PSOL/RJ;13/02/2019
676;PL 3213/2015;Jefferson Campos - PSD/SP;06/10/2015
677;PL 4866/2019;Bosco Costa - PL/SE;04/09/2019
678;PL 4968/2016;Luiz Lauro Filho - PSB/SP;12/04/2016
679;PL 4623/2019;Pedro Augusto Bezerra - PTB/CE;21/08/2019
680;PL 1374/2019;Júnior Ferrari - PSD/PA;12/03/2019
681;PL 11101/2018;Gonzaga Patriota - PSB/PE;04/12/2018
682;PL 2511/2011;Chico D'Angelo - PT/RJ;11/10/2011
683;PL 1924/2011;Sandro Alex - PPS/PR;03/08/2011
684;PL 1616/2015;Senado Federal - Vital do Rêgo - PMDB/PB;20/05/2015
685;PL 4145/2015;Luciano Ducci - PSB/PR;17/12/2015
686;PL 11165/2018;Carlos Henrique Gaguim - DEM/TO;11/12/2018
687;PL 6075/2013;Guilherme Campos - PSD/SP;08/08/2013
688;PL 5675/2016;Marcio Alvino - PR/SP;28/06/2016
689;PL 6858/2013;"Erika Kokay - PT/DF;Amaro Neto - PRB/ES";02/12/2013
690;PL 6867/2013;Arnaldo Jardim - PPS/SP;03/12/2013
691;PL 5265/2013;Erika Kokay - PT/DF;02/04/2013
692;PL 1533/2015;Chico D'Angelo - PT/RJ;13/05/2015
693;PL 6108/2019;Roberto Pessoa - PSDB/CE;20/11/2019
694;PL 5480/2016;Ezequiel Teixeira - PTN/RJ;07/06/2016
695;PL 2216/2019;Magda Mofatto - PR/GO;10/04/2019
696;PL 4392/2016;Alexandre Valle - PMB/RJ;16/02/2016
697;PL 7523/2010;Manuela D'ávila - PCdoB/RS;23/06/2010
698;PL 3001/2011;Aguinaldo Ribeiro - PP/PB;15/12/2011
699;PL 4795/2019;Professor Israel Batista - PV/DF;03/09/2019
700;PL 9250/2017;Eduardo Barbosa - PSDB/MG;05/12/2017
701;PL 1694/2015;Aureo - SD/RJ;26/05/2015
702;PL 2190/2019;Maria Rosas - PRB/SP;09/04/2019
703;PL 9273/2017;Walter Alves - PMDB/RN;06/12/2017
704;PL 270/2015;Conceição Sampaio - PP/AM;09/02/2015
705;PL 299/2015;Cleber Verde - PRB/MA;10/02/2015
706;PL 2550/2019;André Ferreira - PSC/PE;25/04/2019
707;PL 4153/2019;Paula Belmonte - CIDADANIA/DF;19/07/2019
708;PL 6930/2017;"Arnaldo Jordy - PPS/PA; Luiz Couto - PT/PB; Flávia Morais - PDT/GO e outros";15/02/2017
709;PL 8026/2017;Luzia Ferreira - PPS/MG;05/07/2017
710;PL 3752/2012;Ronaldo Fonseca - PR/DF;25/04/2012
711;PL 983/2019;Policial Katia Sastre - PR/SP;20/02/2019
712;PL 3977/2012;Lael Varella - DEM/MG;30/05/2012
713;PLP 123/2012;Darcísio Perondi - PMDB/RS;02/02/2012
714;PL 3288/2015;Mariana Carvalho - PSDB/RO;13/10/2015
715;PL 2555/2019;Célio Studart - PV/CE;25/04/2019
716;PL 1800/2019;Gilberto Nascimento - PSC/SP;27/03/2019
717;PL 7292/2017;Luizianne Lins - PT/CE;04/04/2017
718;PL 2910/2015;LEGISLAÇÃO PARTICIPATIVA;04/09/2015
719;PL 6806/2017;Felipe Carreras - PSB/PE;02/02/2017
720;PL 2049/2015;"Marcos Abrão - PPS/GO;Rubens Bueno - PPS/PR";23/06/2015
721;PL 8440/2017;"Hugo Leal - PSB/RJ; Jandira Feghali - PCdoB/RJ; Chico D'Angelo - PT/RJ e outros";31/08/2017
722;PL 2965/2015;Alan Rick - PRB/AC;10/09/2015
723;PL 3635/2015;Rubens Pereira Júnior - PCdoB/MA;16/11/2015
724;PL 1547/2019;Chico D'Angelo - PDT/RJ;19/03/2019
725;PL 25/2019;"Weliton Prado;Aliel Machado - PSB/PR";04/02/2019
726;PL 9003/2017;Senado Federal - Paulo Paim - PT/RS;01/11/2017
727;PL 6268/2016;Valdir Colatto - PMDB/SC;10/10/2016
728;PL 7502/2014;Rubens Bueno - PPS/PR;06/05/2014
729;PL 2767/2019;Geninho Zuliani - DEM/SP;09/05/2019
730;PL 940/2019;Elcione Barbalho - MDB/PA;20/02/2019
731;PL 1567/2019;Aureo Ribeiro - SOLIDARI/RJ;19/03/2019
732;PL 2659/2015;Wadson Ribeiro - PCdoB/MG;18/08/2015
733;PL 450/2015;Júlio Delgado - PSB/MG;25/02/2015
734;PL 1368/2019;Leonardo Monteiro - PT/MG;12/03/2019
735;PL 4597/2019;Flávia Arruda - PL/DF;20/08/2019
736;PL 11043/2018;Carlos Henrique Gaguim - DEM/TO;27/11/2018
737;PL 9226/2017;"Jandira Feghali - PCdoB/RJ; Hugo Leal - PSB/RJ; Chico D'Angelo - PT/RJ e outros";29/11/2017
738;PL 4607/2019;Felipe Carreras - PSB/PE;21/08/2019
739;PL 4605/2019;Luiz Lima - PSL/RJ;20/08/2019
740;PL 4604/2019;Luiz Lima - PSL/RJ;20/08/2019
741;PL 120/2015;Juscelino Rezende Filho - PRP/MA;03/02/2015
742;PL 1626/2019;Leandre - PV/PR;20/03/2019
743;PLP 385/2014;Manoel Junior - PMDB/PB;23/04/2014
744;PL 1889/2019;Domingos Sávio - PSDB/MG;28/03/2019
745;PL 6787/2013;"Renato Simões - PT/SP; Janete Rocha Pietá; Vicentinho - PT/SP";20/11/2013
746;PL 2775/2019;José Medeiros - PODE/MT;09/05/2019
747;PLP 15/2019;Natália Bonavides - PT/RN;08/02/2019
748;PL 3933/2019;Dra. Soraya Manato - PSL/ES;09/07/2019
749;PL 4490/2019;Boca Aberta - PROS/PR;14/08/2019
750;PL 2166/2019;Mauro Nazif - PSB/RO;09/04/2019
751;PL 9638/2018;Vanderlei Macris - PSDB/SP;27/02/2018
752;PL 4718/2016;Afonso Motta - PDT/RS;15/03/2016
753;PL 4786/2016;Rômulo Gouveia - PSD/PB;21/03/2016
754;PL 8048/2014;"Chico Alencar - PSOL/RJ; Ivan Valente - PSOL/SP; Jean Wyllys - PSOL/RJ";29/10/2014
755;PL 4188/2019;Roberto de Lucena - PODE/SP;02/08/2019
756;PL 9419/2017;Mariana Carvalho - PSDB/RO;19/12/2017
757;PL 4113/2019;Nivaldo Albuquerque - PTB/AL;16/07/2019
758;PL 3957/2015;Hugo Motta - PMDB/PB;10/12/2015
759;PL 10085/2018;Ivan Valente - PSOL/SP;19/04/2018
760;PL 3818/2019;Geninho Zuliani - DEM/SP;02/07/2019
761;PL 5803/2016;Rafael Motta - PSB/RN;12/07/2016
762;PL 4090/2015;Marcelo Belinati - PP/PR;16/12/2015
763;PLP 75/2019;Schiavinato - PP/PR;25/03/2019
764;PL 3383/2012;Damião Feliciano - PDT/PB;07/03/2012
765;PL 13/2019;Joice Hasselmann - PSL/SP;04/02/2019
766;PL 1532/2019;Luiz Lima - PSL/RJ;19/03/2019
767;PL 429/2019;Rubens Bueno - PPS/PR;05/02/2019
768;PL 1468/2019;Aécio Neves - PSDB/MG;13/03/2019
769;PL 1807/2019;Bia Cavassa - PSDB/MS;27/03/2019
770;PL 2220/2019;Capitão Wagner - PROS/CE;10/04/2019
771;PL 2352/2019;Valtenir Pereira - MDB/MT;16/04/2019
772;PL 2566/2019;Jéssica Sales - MDB/AC;25/04/2019
773;PL 2400/2019;Boca Aberta - PROS/PR;17/04/2019
774;PL 2423/2019;Julio Cesar Ribeiro - PRB/DF;22/04/2019
775;PL 2785/2019;"Zé Silva - SOLIDARI/MG; Padre João - PT/MG; Leonardo Monteiro - PT/MG e outros";09/05/2019
776;PL 2790/2019;"Zé Silva - SOLIDARI/MG; Júlio Delgado - PSB/MG; André Janones - AVANTE/MG e outros";09/05/2019
777;PL 2938/2019;Dr. Jaziel - PR/CE;16/05/2019
778;PL 2873/2019;Ruy Carneiro - PSDB/PB;14/05/2019
779;PL 3117/2019;Vicentinho Júnior - PL/TO;23/05/2019
780;PL 3207/2019;Expedito Netto - PSD/RO;29/05/2019
781;PL 3533/2019;Márcio Labre - PSL/RJ;13/06/2019
782;PL 3733/2019;Magda Mofatto - PL/GO;26/06/2019
783;PL 3720/2019;Luiz Lima - PSL/RJ;25/06/2019
784;PL 7647/2014;Lucio Vieira Lima - PMDB/BA;03/06/2014
785;PL 4187/2012;Giovani Cherini - PDT/RS;11/07/2012
786;PL 570/2011;Weliton Prado - PT/MG;23/02/2011
787;PL 214/2019;Roberto de Lucena - PODE/SP;04/02/2019
788;PL 2979/2015;Sóstenes Cavalcante - PSD/RJ;15/09/2015
789;PL 1522/2015;Luciano Ducci - PSB/PR;13/05/2015
790;PL 425/2011;Hugo Leal - PSC/RJ;16/02/2011
791;PL 2333/2015;João Marcelo Souza - PMDB/MA;09/07/2015
792;PL 3606/2015;Mário Heringer - PDT/MG;11/11/2015
793;PL 4050/2015;Marcelo Belinati - PP/PR;15/12/2015
794;PL 6476/2016;Francisco Floriano - DEM/RJ;10/11/2016
795;PL 2536/2019;Daniel Silveira - PSL/RJ;25/04/2019
796;PL 9167/2017;Antonio Carlos Mendes Thame - PV/SP;27/11/2017
797;PL 7915/2010;Cleber Verde - PRB/MA;17/11/2010
798;PL 6568/2013;Senado Federal - Angela Portela - PT/RR;14/10/2013
799;PL 914/2019;Hugo Leal - PSD/RJ;19/02/2019
800;PL 6868/2010;Senado Federal - Marisa Serrano - PSDB/MS;01/03/2010
801;PL 2772/2011;Eliseu Padilha - PMDB/RS;24/11/2011
802;PL 5716/2013;Alessandro Molon - PT/RJ;05/06/2013
803;PL 65/2019;Rodrigo Agostinho - PSB/SP;04/02/2019
804;PL 878/2019;"Talíria Petrone - PSOL/RJ; Áurea Carolina - PSOL/MG; Fernanda Melchionna - PSOL/RS e outros";19/02/2019
805;PL 1561/2019;Edna Henrique - PSDB/PB;19/03/2019
806;PL 4087/2015;Marcelo Álvaro Antônio - PMB/MG;16/12/2015
807;PL 7220/2017;Delegado Waldir - PR/GO;28/03/2017
808;PL 10209/2018;Marco Antônio Cabral - PMDB/RJ;09/05/2018
809;PL 3826/2015;Osmar Terra - PMDB/RS;02/12/2015
810;PL 1079/2011;Eduardo Sciarra - DEM/PR;14/04/2011
811;PL 653/2011;Sandro Alex - PPS/PR;02/03/2011
812;PL 2760/2015;Beto Rosado - PP/RN;25/08/2015
813;PL 3378/2015;Senado Federal - Jayme Campos - DEM/MT;21/10/2015
