;Proposições;Autor;Apresentaç
82;PL 3553/2020;Marreca Filho - PATRIOTA/MA;30/06/2020
83;PL 8116/2014;"Alberto Filho - PMDB/MA; Arolde de Oliveira - PSD/RJ; Aníbal Gomes - PMDB/CE";19/11/2014
84;PL 2697/2020;Dr. Zacharias Calil - DEM/GO;15/05/2020
85;PL 2803/2020;Antonio Brito - PSD/BA;20/05/2020
86;PL 2806/2020;"Weliton Prado - PROS/MG;Ricardo Izar - PP/SP";21/05/2020
87;PL 1493/2020;Felipe Carreras - PSB/PE;02/04/2020
88;PL 1892/2020;Dr. Leonardo - SOLIDARI/MT;14/04/2020
89;PL 4345/2016;Atila A. Nunes - PSL/RJ;04/02/2016
90;PL 3774/2019;Maria do Rosário - PT/RS;27/06/2019
91;PL 10466/2018;Norma Ayub - DEM/ES;20/06/2018
92;PL 1840/2020;"Danilo Cabral - PSB/PE; Luciano Ducci - PSB/PR; Vilson da Fetaemg - PSB/MG e outros";13/04/2020
93;PL 2119/2020;Elias Vaz - PSB/GO;23/04/2020
94;PL 7865/2017;Alfredo Nascimento - PR/AM;13/06/2017
95;PL 459/2015;Andre Moura - PSC/SE;25/02/2015
96;PL 5574/2016;Marcelo Álvaro Antônio - PR/MG;15/06/2016
97;PL 10995/2018;Carlos Henrique Gaguim - DEM/TO;20/11/2018
98;PL 1590/2019;Roberto Alves - PRB/SP;19/03/2019
99;PL 4183/2019;Roberto de Lucena - PODE/SP;02/08/2019
200;PL 1100/2020;José Nelto - PODE/GO;26/03/2020
201;PL 2913/2011;Sandro Alex - PPS/PR;13/12/2011
202;PL 3748/2012;Jesus Rodrigues - PT/PI;25/04/2012
203;PL 3284/2015;Carlos Bezerra - PMDB/MT;13/10/2015
204;PL 2470/2015;Cabo Sabino - PR/CE;04/08/2015
205;PL 8338/2017;Lucas Vergilio - SD/GO;22/08/2017
206;PL 6316/2016;Pompeo de Mattos - PDT/RS;18/10/2016
207;PL 9060/2017;Aureo - SD/RJ;08/11/2017
208;PL 3135/2020;Fábio Trad - PSD/MS;04/06/2020
209;PL 1329/2020;"Fernanda Melchionna - PSOL/RS; Sâmia Bomfim - PSOL/SP; David Miranda - PSOL/RJ e outros";31/03/2020
